timestamp,voltage_v,current_a,power_factor
2026-07-01 00:00:00,231.04,1.68,0.82
2026-07-01 00:05:00,226.76,1.28,0.82
2026-07-01 00:10:00,229.76,0.91,0.87
2026-07-01 00:15:00,233.01,0.58,0.81
2026-07-01 00:20:00,232.6,1.22,0.86
2026-07-01 00:25:00,234.07,1.03,0.82
2026-07-01 00:30:00,232.69,0.46,0.81
2026-07-01 00:35:00,229.35,0.65,0.82
2026-07-01 00:40:00,229.85,0.56,0.85
2026-07-01 00:45:00,230.76,0.52,0.82
2026-07-01 00:50:00,225.95,0.49,0.81
2026-07-01 00:55:00,229.34,1.56,0.87
2026-07-01 01:00:00,227.62,0.58,0.81
2026-07-01 01:05:00,230.27,1.32,0.83
2026-07-01 01:10:00,225.53,0.77,0.81
2026-07-01 01:15:00,229.43,0.8,0.83
2026-07-01 01:20:00,230.79,1.65,0.85
2026-07-01 01:25:00,233.5,1.52,0.82
2026-07-01 01:30:00,232.56,0.65,0.82
2026-07-01 01:35:00,228.84,1.68,0.83
2026-07-01 01:40:00,226.31,0.97,0.84
2026-07-01 01:45:00,225.07,0.95,0.83
2026-07-01 01:50:00,229.91,1.4,0.85
2026-07-01 01:55:00,227.91,1.53,0.87
2026-07-01 02:00:00,226.65,1.04,0.87
2026-07-01 02:05:00,225.97,0.92,0.86
2026-07-01 02:10:00,229.51,1.32,0.83
2026-07-01 02:15:00,230.74,1.23,0.87
2026-07-01 02:20:00,231.01,1.24,0.86
2026-07-01 02:25:00,229.12,0.8,0.85
2026-07-01 02:30:00,232.46,0.83,0.87
2026-07-01 02:35:00,227.04,1.17,0.85
2026-07-01 02:40:00,230.2,1.09,0.87
2026-07-01 02:45:00,225.66,1.26,0.87
2026-07-01 02:50:00,233.21,0.76,0.86
2026-07-01 02:55:00,234.45,1.59,0.86
2026-07-01 03:00:00,230.96,0.78,0.82
2026-07-01 03:05:00,233.25,0.79,0.86
2026-07-01 03:10:00,227.21,1.07,0.88
2026-07-01 03:15:00,230.95,0.58,0.87
2026-07-01 03:20:00,228.17,0.51,0.84
2026-07-01 03:25:00,233.44,0.66,0.83
2026-07-01 03:30:00,228.92,0.66,0.82
2026-07-01 03:35:00,226.26,1.54,0.84
2026-07-01 03:40:00,226.61,0.85,0.82
2026-07-01 03:45:00,234.22,1.44,0.81
2026-07-01 03:50:00,225.59,1.54,0.81
2026-07-01 03:55:00,234.37,0.67,0.87
